hero,slot,ability,behavior,cast_point,damage_type,is_shard,is_scepter,anim_entry,anim_role,anim_instant_target,THREATS_ON_SELF,DISPLACEMENT_AFFORDANCE,ABILITY_TO_THREAT,THREAT_TIMING,THREAT_CATEGORY,THREAT_SEVERITY,LOTUS_WORTHY_INCOMING,ENEMY_CHANNEL_MODIFIERS,THREAT_TETHER_RANGE
ancient_apparition,1,ancient_apparition_cold_feet,DOTA_ABILITY_BEHAVIOR_IGNORE_BACKSWING|DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.01 0.01 0.01 0.01,DAMAGE_TYPE_MAGICAL,,,1,hard_disable,1,1,,1,,1,1,,,
ancient_apparition,2,ancient_apparition_ice_vortex,DOTA_ABILITY_BEHAVIOR_AOE|DOTA_ABILITY_BEHAVIOR_IGNORE_BACKSWING|DOTA_ABILITY_BEHAVIOR_POINT,0.01 0.01 0.01 0.01,DAMAGE_TYPE_MAGICAL,,,,,,,,,,,,,,
ancient_apparition,3,ancient_apparition_chilling_touch,DOTA_ABILITY_BEHAVIOR_ATTACK|DOTA_ABILITY_BEHAVIOR_AUTOCAST|DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0,DAMAGE_TYPE_MAGICAL,,,,,,,,,,,,,,
ancient_apparition,4,ancient_apparition_bone_chill,DOTA_ABILITY_BEHAVIOR_FORCE_NO_INNATE_UI|DOTA_ABILITY_BEHAVIOR_HIDDEN|DOTA_ABILITY_BEHAVIOR_PASSIVE,0,DAMAGE_TYPE_MAGICAL,,,,,,,,,,,,,,
ancient_apparition,6,ancient_apparition_ice_blast,DOTA_ABILITY_BEHAVIOR_AOE|DOTA_ABILITY_BEHAVIOR_POINT,0.01 0.01 0.01,DAMAGE_TYPE_MAGICAL,,,1,ult_burst,,1,,1,,1,1,,,
ancient_apparition,7,ancient_apparition_ice_blast_release,DOTA_ABILITY_BEHAVIOR_HIDDEN|DOTA_ABILITY_BEHAVIOR_IGNORE_SILENCE|DOTA_ABILITY_BEHAVIOR_NO_TARGET,0 0 0,,,,,,,,,,,,,,,
ancient_apparition,10,special_bonus_unique_ancient_apparition_7,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
ancient_apparition,11,special_bonus_unique_ancient_apparition_cold_feet_dps,,,,,,,,,,,,,,,,,
ancient_apparition,12,special_bonus_unique_ancient_apparition_3,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
ancient_apparition,13,special_bonus_unique_ancient_apparition_cold_feet_distance,,,,,,,,,,,,,,,,,
ancient_apparition,14,special_bonus_unique_ancient_apparition_ice_vortex_duration,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
ancient_apparition,15,special_bonus_unique_ancient_apparition_2,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
ancient_apparition,16,special_bonus_unique_ancient_apparition_1,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
ancient_apparition,17,special_bonus_unique_ancient_apparition_5,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
antimage,1,antimage_mana_break,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,DAMAGE_TYPE_PHYSICAL,,,,,,,,,,,,,,
antimage,2,antimage_blink,DOTA_ABILITY_BEHAVIOR_OVERSHOOT|DOTA_ABILITY_BEHAVIOR_POINT|DOTA_ABILITY_BEHAVIOR_ROOT_DISABLES,0.4 0.4 0.4 0.4,,,,,,,,,1,,,,,,
antimage,3,antimage_counterspell,DOTA_ABILITY_BEHAVIOR_IMMEDIATE|DOTA_ABILITY_BEHAVIOR_NO_TARGET,0 0 0 0,,,,,,,,,,,,,,,
antimage,5,antimage_persectur,DOTA_ABILITY_BEHAVIOR_INNATE_UI|DOTA_ABILITY_BEHAVIOR_NOT_LEARNABLE|DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
antimage,6,antimage_mana_void,DOTA_ABILITY_BEHAVIOR_AOE|DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.3 0.3 0.3 0.3,DAMAGE_TYPE_MAGICAL,,,1,ult_burst,1,,,1,,,,,,
antimage,10,special_bonus_hp_regen_3,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
antimage,11,special_bonus_unique_antimage_manavoid_aoe,,,,,,,,,,,,,,,,,
antimage,12,special_bonus_unique_antimage_5,,,,,,,,,,,,,,,,,
antimage,13,special_bonus_unique_antimage_6,,,,,,,,,,,,,,,,,
antimage,14,special_bonus_unique_antimage_3,,,,,,,,,,,,,,,,,
antimage,15,special_bonus_unique_antimage_8,,,,,,,,,,,,,,,,,
antimage,16,special_bonus_unique_antimage,,,,,,,,,,,,,,,,,
antimage,17,special_bonus_unique_antimage_2,,,,,,,,,,,,,,,,,
arc_warden,1,arc_warden_flux,DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.3 0.3 0.3 0.3,DAMAGE_TYPE_MAGICAL,,,,,,,,,,,,,,
arc_warden,2,arc_warden_magnetic_field,DOTA_ABILITY_BEHAVIOR_AOE|DOTA_ABILITY_BEHAVIOR_CAN_SELF_CAST|DOTA_ABILITY_BEHAVIOR_IGNORE_BACKSWING|DOTA_ABILITY_BEHAVIOR_POINT,0.3,,,,,,,,,,,,,,,
arc_warden,3,arc_warden_spark_wraith,DOTA_ABILITY_BEHAVIOR_AOE|DOTA_ABILITY_BEHAVIOR_POINT,0.3,DAMAGE_TYPE_MAGICAL,,,,,,,,,,,,,,
arc_warden,4,arc_warden_runic_infusion,DOTA_ABILITY_BEHAVIOR_FORCE_NO_INNATE_UI|DOTA_ABILITY_BEHAVIOR_HIDDEN|DOTA_ABILITY_BEHAVIOR_PASSIVE|DOTA_ABILITY_BEHAVIOR_SKIP_FOR_KEYBINDS,0,,,,,,,,,,,,,,,
arc_warden,6,arc_warden_tempest_double,DOTA_ABILITY_BEHAVIOR_POINT,0.15,,,,,,,,,,,,,,,
arc_warden,10,special_bonus_unique_arc_warden_5,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
arc_warden,11,special_bonus_hp_200,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
arc_warden,12,special_bonus_unique_arc_warden_4,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
arc_warden,13,special_bonus_unique_arc_warden_3,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
arc_warden,14,special_bonus_unique_arc_warden,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
arc_warden,15,special_bonus_unique_arc_warden_9,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
arc_warden,16,special_bonus_unique_arc_warden_8,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
arc_warden,17,special_bonus_unique_arc_warden_7,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
axe,1,axe_berserkers_call,DOTA_ABILITY_BEHAVIOR_DONT_RESUME_MOVEMENT|DOTA_ABILITY_BEHAVIOR_NO_TARGET,0.3,,,,,,,1,,,,1,1,,,
axe,2,axe_battle_hunger,DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.3 0.3 0.3 0.3,DAMAGE_TYPE_PURE,,,,,,,,,,,,,,
axe,3,axe_counter_helix,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,DAMAGE_TYPE_PURE,,,,,,,,,,,,,,
axe,6,axe_culling_blade,DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.3,DAMAGE_TYPE_PURE,,,,,,,,,,,,,,
axe,7,axe_one_man_army,DOTA_ABILITY_BEHAVIOR_HIDDEN|DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
axe,10,special_bonus_unique_axe_culling_blade_speed_duration,,,,,,,,,,,,,,,,,
axe,11,special_bonus_unique_axe_8,,,,,,,,,,,,,,,,,
axe,12,special_bonus_unique_axe,,,,,,,,,,,,,,,,,
axe,13,special_bonus_unique_axe_7,,,,,,,,,,,,,,,,,
axe,14,special_bonus_strength_15,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
axe,15,special_bonus_unique_axe_4,,,,,,,,,,,,,,,,,
axe,16,special_bonus_unique_axe_2,,,,,,,,,,,,,,,,,
axe,17,special_bonus_unique_axe_5,,,,,,,,,,,,,,,,,
bane,1,bane_enfeeble,DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.2,DAMAGE_TYPE_PURE,,,,,,,,,,,,,,
bane,2,bane_brain_sap,DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.2,DAMAGE_TYPE_PURE,,,,,,,,1,,,,,,
bane,3,bane_nightmare,DOTA_ABILITY_BEHAVIOR_ALT_CASTABLE|DOTA_ABILITY_BEHAVIOR_DONT_RESUME_ATTACK|DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.4,,,,1,hard_disable,,1,,1,1,1,1,,,
bane,6,bane_fiends_grip,DOTA_ABILITY_BEHAVIOR_CHANNELLED|DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.2,DAMAGE_TYPE_PURE,,,1,channel_start,1,1,,1,1,1,1,,1,1
bane,7,bane_nightmare_end,DOTA_ABILITY_BEHAVIOR_HIDDEN|DOTA_ABILITY_BEHAVIOR_IGNORE_PSEUDO_QUEUE|DOTA_ABILITY_BEHAVIOR_NO_TARGET|DOTA_ABILITY_BEHAVIOR_TOGGLE,0,,,,,,,,,,,,,,,
bane,8,bane_ichor_of_nyctasha,DOTA_ABILITY_BEHAVIOR_INNATE_UI|DOTA_ABILITY_BEHAVIOR_PASSIVE|DOTA_ABILITY_BEHAVIOR_SKIP_FOR_KEYBINDS,0,DAMAGE_TYPE_PURE,,,,,,,,,,,,,,
bane,10,special_bonus_unique_bane_8,,,,,,,,,,,,,,,,,
bane,11,special_bonus_unique_bane_11,,,,,,,,,,,,,,,,,
bane,12,special_bonus_unique_bane_10,,,,,,,,,,,,,,,,,
bane,13,special_bonus_unique_bane_9,,,,,,,,,,,,,,,,,
bane,14,special_bonus_unique_bane_5,,,,,,,,,,,,,,,,,
bane,15,special_bonus_movement_speed_30,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
bane,16,special_bonus_unique_bane_2,,,,,,,,,,,,,,,,,
bane,17,special_bonus_unique_bane_3,,,,,,,,,,,,,,,,,
batrider,1,batrider_sticky_napalm,DOTA_ABILITY_BEHAVIOR_AOE|DOTA_ABILITY_BEHAVIOR_DONT_PROC_OTHER_ABILITIES|DOTA_ABILITY_BEHAVIOR_IGNORE_BACKSWING|DOTA_ABILITY_BEHAVIOR_POINT,0,DAMAGE_TYPE_MAGICAL,,,,,,,,,,,,,,
batrider,2,batrider_flamebreak,DOTA_ABILITY_BEHAVIOR_AOE|DOTA_ABILITY_BEHAVIOR_POINT,0.2 0.2 0.2 0.2,DAMAGE_TYPE_MAGICAL,,,,,,,,,,,,,,
batrider,3,batrider_firefly,DOTA_ABILITY_BEHAVIOR_IMMEDIATE|DOTA_ABILITY_BEHAVIOR_NO_TARGET,0.0 0.0 0.0 0.0,DAMAGE_TYPE_MAGICAL,,,,,,,,,,,,,,
batrider,4,batrider_sticky_napalm_application_damage,DOTA_ABILITY_BEHAVIOR_HIDDEN|DOTA_ABILITY_BEHAVIOR_NOT_LEARNABLE,0,,,,,,,,,,,,,,,
batrider,5,batrider_smoldering_resin,DOTA_ABILITY_BEHAVIOR_INNATE_UI|DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
batrider,6,batrider_flaming_lasso,DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.3,DAMAGE_TYPE_MAGICAL,,,1,hard_disable,,1,,1,1,1,1,,,
batrider,10,special_bonus_unique_batrider_3,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
batrider,11,special_bonus_unique_batrider_smoldering_resin_ticks,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
batrider,12,special_bonus_unique_batrider_4,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
batrider,13,special_bonus_unique_batrider_7,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
batrider,14,special_bonus_unique_batrider_6,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
batrider,15,special_bonus_unique_batrider_5,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
batrider,16,special_bonus_unique_batrider_1,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
batrider,17,special_bonus_unique_batrider_2,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
beastmaster,1,beastmaster_wild_axes,DOTA_ABILITY_BEHAVIOR_POINT,0.3,DAMAGE_TYPE_MAGICAL,,,,,,,,,,,,,,
beastmaster,2,beastmaster_summon_razorback,DOTA_ABILITY_BEHAVIOR_NO_TARGET,0.3,DAMAGE_TYPE_PHYSICAL,,,,,,,,,,,,,,
beastmaster,3,beastmaster_summon_raptor,DOTA_ABILITY_BEHAVIOR_NO_TARGET,0.3,DAMAGE_TYPE_MAGICAL,,,,,,,,,,,,,,
beastmaster,4,beastmaster_inner_beast,DOTA_ABILITY_BEHAVIOR_FORCE_NO_INNATE_UI|DOTA_ABILITY_BEHAVIOR_HIDDEN|DOTA_ABILITY_BEHAVIOR_PASSIVE,0.0 0.0 0.0 0.0,,,,,,,,,,,,,,,
beastmaster,5,beastmaster_drums_of_slom,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,DAMAGE_TYPE_MAGICAL,,1,,,,,,,,,,,,
beastmaster,6,beastmaster_primal_roar,DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.5 0.5 0.5,DAMAGE_TYPE_MAGICAL,,,1,hard_disable,,1,,1,1,1,1,,,
beastmaster,10,special_bonus_armor_5,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
beastmaster,11,special_bonus_unique_beastmaster_9,,,,,,,,,,,,,,,,,
beastmaster,12,special_bonus_unique_beastmaster_5,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
beastmaster,13,special_bonus_unique_beastmaster_4,,,,,,,,,,,,,,,,,
beastmaster,14,special_bonus_unique_beastmaster_2,,,,,,,,,,,,,,,,,
beastmaster,15,special_bonus_unique_beastmaster_6,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
beastmaster,16,special_bonus_unique_beastmaster_wild_axe_cooldown,,,,,,,,,,,,,,,,,
beastmaster,17,special_bonus_unique_beastmaster_7,,,,,,,,,,,,,,,,,
bloodseeker,1,bloodseeker_bloodrage,DOTA_ABILITY_BEHAVIOR_IMMEDIATE|DOTA_ABILITY_BEHAVIOR_NO_TARGET,0,DAMAGE_TYPE_PURE,,,,,,,,,,,,,,
bloodseeker,2,bloodseeker_blood_bath,DOTA_ABILITY_BEHAVIOR_AOE|DOTA_ABILITY_BEHAVIOR_POINT,0.3,DAMAGE_TYPE_PURE,,,,,,,,,,,,,,
bloodseeker,3,bloodseeker_thirst,DOTA_ABILITY_BEHAVIOR_PASSIVE,0.3,,,,,,,,,,,,,,,
bloodseeker,5,bloodseeker_sanguivore,DOTA_ABILITY_BEHAVIOR_FORCE_NO_INNATE_UI|DOTA_ABILITY_BEHAVIOR_HIDDEN|DOTA_ABILITY_BEHAVIOR_PASSIVE|DOTA_ABILITY_BEHAVIOR_SKIP_FOR_KEYBINDS,0.3,,,,,,,,,,,,,,,
bloodseeker,6,bloodseeker_rupture,DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.4,DAMAGE_TYPE_PURE,,,1,ult_burst,,1,,1,1,1,1,,,
bloodseeker,10,special_bonus_hp_200,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
bloodseeker,11,special_bonus_unique_bloodseeker_5,,,,,,,,,,,,,,,,,
bloodseeker,12,special_bonus_unique_bloodseeker,,,,,,,,,,,,,,,,,
bloodseeker,13,special_bonus_unique_bloodseeker_2,,,,,,,,,,,,,,,,,
bloodseeker,14,special_bonus_unique_bloodseeker_3,,,,,,,,,,,,,,,,,
bloodseeker,15,special_bonus_agility_15,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
bloodseeker,16,special_bonus_unique_bloodseeker_7,,,,,,,,,,,,,,,,,
bloodseeker,17,special_bonus_unique_bloodseeker_4,,,,,,,,,,,,,,,,,
bounty_hunter,1,bounty_hunter_shuriken_toss,DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.3 0.3 0.3 0.3,DAMAGE_TYPE_MAGICAL,,,,,,,,,,,,,,
bounty_hunter,2,bounty_hunter_jinada,DOTA_ABILITY_BEHAVIOR_ATTACK|DOTA_ABILITY_BEHAVIOR_AUTOCAST|DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.0 0.0 0.0 0.0,DAMAGE_TYPE_PHYSICAL,,,,,,,,,,,,,,
bounty_hunter,3,bounty_hunter_wind_walk,DOTA_ABILITY_BEHAVIOR_IGNORE_CHANNEL|DOTA_ABILITY_BEHAVIOR_IMMEDIATE|DOTA_ABILITY_BEHAVIOR_NO_TARGET,0.0 0.0 0.0 0.0,,,,,,,,,,,,,,,
bounty_hunter,4,bounty_hunter_wind_walk_ally,DOTA_ABILITY_BEHAVIOR_IGNORE_CHANNEL|DOTA_ABILITY_BEHAVIOR_IMMEDIATE|DOTA_ABILITY_BEHAVIOR_NOT_LEARNABLE|DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.0 0.0 0.0 0.0,,1,,,,,,,,,,,,,
bounty_hunter,5,bounty_hunter_big_game_hunter,DOTA_ABILITY_BEHAVIOR_INNATE_UI|DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
bounty_hunter,6,bounty_hunter_track,DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.3 0.3 0.3,,,,,,,,,,,,,,,
bounty_hunter,10,special_bonus_unique_bounty_hunter_5,,,,,,,,,,,,,,,,,
bounty_hunter,11,special_bonus_attack_damage_30,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
bounty_hunter,12,special_bonus_unique_bounty_hunter_9,,,,,,,,,,,,,,,,,
bounty_hunter,13,special_bonus_unique_bounty_hunter_3,,,,,,,,,,,,,,,,,
bounty_hunter,14,special_bonus_unique_bounty_hunter_8,,,,,,,,,,,,,,,,,
bounty_hunter,15,special_bonus_unique_bounty_hunter,,,,,,,,,,,,,,,,,
bounty_hunter,16,special_bonus_unique_bounty_hunter_2,,,,,,,,,,,,,,,,,
bounty_hunter,17,special_bonus_unique_bounty_hunter_jinada_no_cooldown,,,,,,,,,,,,,,,,,
brewmaster,1,brewmaster_thunder_clap,DOTA_ABILITY_BEHAVIOR_NO_TARGET,0.3,DAMAGE_TYPE_MAGICAL,,,,,,,,,,,,,,
brewmaster,2,brewmaster_cinder_brew,DOTA_ABILITY_BEHAVIOR_AOE|DOTA_ABILITY_BEHAVIOR_POINT,0.2,DAMAGE_TYPE_MAGICAL,,,,,,,,,,,,,,
brewmaster,3,brewmaster_drunken_brawler,DOTA_ABILITY_BEHAVIOR_IGNORE_CHANNEL|DOTA_ABILITY_BEHAVIOR_IGNORE_INVISIBLE|DOTA_ABILITY_BEHAVIOR_IGNORE_SILENCE|DOTA_ABILITY_BEHAVIOR_IMMEDIATE|DOTA_ABILITY_BEHAVIOR_NO_TARGET,0,,,,,,,,,,,,,,,
brewmaster,4,brewmaster_liquid_courage,DOTA_ABILITY_BEHAVIOR_FORCE_KEYBIND|DOTA_ABILITY_BEHAVIOR_FORCE_NO_INNATE_UI|DOTA_ABILITY_BEHAVIOR_HIDDEN|DOTA_ABILITY_BEHAVIOR_PASSIVE,0,DAMAGE_TYPE_NONE,,,,,,,,,,,,,,
brewmaster,6,brewmaster_primal_split,DOTA_ABILITY_BEHAVIOR_NO_TARGET,0.55,,,,,,,,,,,,,,,
brewmaster,10,special_bonus_unique_brewmaster_2,,,,,,,,,,,,,,,,,
brewmaster,11,special_bonus_unique_brewmaster_brewed_up_duration,,,,,,,,,,,,,,,,,
brewmaster,12,special_bonus_unique_brewmaster_5,,,,,,,,,,,,,,,,,
brewmaster,13,special_bonus_unique_brewmaster,,,,,,,,,,,,,,,,,
brewmaster,14,special_bonus_unique_brewmaster_primal_split_cooldown,,,,,,,,,,,,,,,,,
brewmaster,15,special_bonus_attack_speed_110,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
brewmaster,16,special_bonus_unique_brewmaster_drunken_brawler_stance_bonus,,,,,,,,,,,,,,,,,
brewmaster,17,special_bonus_unique_brewmaster_4,,,,,,,,,,,,,,,,,
